,datatime,illum_mean
0,2018-08-21 09:10:46,14.04620361328125
1,2018-08-21 09:10:56,13.17999267578125
2,2018-08-21 09:11:06,12.983963012695312
3,2018-08-21 09:11:16,12.768463134765625
4,2018-08-21 09:11:26,12.887130737304688
5,2018-08-21 09:11:36,13.139297485351562
6,2018-08-21 09:11:46,13.271347045898438
7,2018-08-21 09:11:56,13.31689453125
8,2018-08-21 09:12:06,13.226577758789062
9,2018-08-21 09:12:16,12.86053466796875
10,2018-08-21 09:21:08,20.979766845703125
11,2018-08-21 09:21:18,64.40426635742188
12,2018-08-21 09:21:26,65.23350524902344
13,2018-08-21 09:21:38,64.35301208496094
14,2018-08-21 09:21:46,78.24696350097656
15,2018-08-21 09:21:56,79.47297668457031
16,2018-08-21 09:22:08,80.36228942871094
17,2018-08-21 09:22:16,65.84901428222656
18,2018-08-21 09:22:26,66.87339782714844
19,2018-08-21 09:22:36,64.59010314941406
20,2018-11-20 13:24:06,78.60504150390625
21,2018-11-20 13:24:16,76.24813842773438
22,2018-11-20 13:24:26,75.87825012207031
23,2018-11-20 13:24:36,75.9962158203125
24,2018-11-20 13:24:46,75.96238708496094
25,2018-11-20 13:24:56,75.95927429199219
26,2018-11-20 13:25:06,75.84487915039062
27,2018-11-20 13:25:16,75.84757995605469
28,2018-11-20 13:25:26,75.76788330078125
29,2018-11-20 13:25:36,75.55484008789062
30,2018-11-20 13:54:06,79.72685241699219
31,2018-11-20 13:54:16,76.0009765625
32,2018-11-20 13:54:26,75.9410400390625
33,2018-11-20 13:54:36,75.54890441894531
34,2018-11-20 13:54:46,75.23298645019531
35,2018-11-20 13:54:56,75.01321411132812
36,2018-11-20 13:55:06,74.88526916503906
37,2018-11-20 13:55:16,74.73348999023438
38,2018-11-20 13:55:26,74.74786376953125
39,2018-11-20 13:55:36,74.46429443359375
40,2018-11-20 14:11:14,67.56228637695312
41,2018-11-20 14:11:24,66.95806884765625
42,2018-11-20 14:11:34,68.52537536621094
43,2018-11-20 14:11:44,67.70834350585938
44,2018-11-20 14:11:54,69.30209350585938
45,2018-11-20 14:12:04,69.37026977539062
46,2018-11-20 14:12:14,69.40000915527344
47,2018-11-20 14:12:24,69.99948120117188
48,2018-11-20 14:12:34,70.38125610351562
49,2018-11-20 14:12:44,71.16163635253906
50,2018-11-20 14:21:18,74.28263854980469
51,2018-11-20 14:21:26,74.90798950195312
52,2018-11-20 14:21:36,74.75563049316406
53,2018-11-20 14:21:46,74.72785949707031
54,2018-11-20 14:21:56,74.59315490722656
55,2018-11-20 14:22:06,74.69606018066406
56,2018-11-20 14:22:16,75.64906311035156
57,2018-11-20 14:22:26,74.77278137207031
58,2018-11-20 14:22:36,74.79093933105469
59,2018-11-20 14:22:46,74.96397399902344
60,2018-11-20 14:31:18,74.66142272949219
61,2018-11-20 14:31:26,75.16000366210938
62,2018-11-20 14:31:36,75.70938110351562
63,2018-11-20 14:31:46,76.18121337890625
64,2018-11-20 14:31:56,76.16883850097656
65,2018-11-20 14:32:06,75.74519348144531
66,2018-11-20 14:32:16,75.46127319335938
67,2018-11-20 14:32:26,76.21133422851562
68,2018-11-20 14:32:36,74.10102844238281
69,2018-11-20 14:32:46,75.50790405273438
70,2018-11-20 14:41:18,75.45491027832031
71,2018-11-20 14:41:28,75.63023376464844
72,2018-11-20 14:41:38,75.57928466796875
73,2018-11-20 14:41:48,75.27468872070312
74,2018-11-20 14:41:58,74.9237060546875
75,2018-11-20 14:42:08,75.16714477539062
76,2018-11-20 14:42:18,75.10794067382812
77,2018-11-20 14:42:28,75.18476867675781
78,2018-11-20 14:42:38,77.1878662109375
79,2018-11-20 14:42:48,76.84709167480469
